feature,shap_importance
Alpha32,0.05250080181159941
Alpha64,0.04270691224669211
Alpha37,0.025922372149702243
Alpha48,0.020012652357973296
Alpha47,0.01966512038198241
Alpha62,0.016292574554015102
Alpha18,0.014289941856630295
Alpha26,0.013504740784944824
Alpha3,0.01192198769997549
Alpha28,0.010967850233856545
Alpha31,0.0109622514884038
Alpha46,0.01065897992311729
Alpha24,0.01007155384644117
Alpha42,0.008907970071554687
Alpha41,0.008500263955612956
Alpha14,0.007351704902773995
Alpha35,0.007334941773253113
Alpha17,0.007121548827670505
Alpha55,0.006318447449157341
Alpha22,0.005591630733382421
Alpha53,0.005551363967621898
Alpha58,0.005494566494922536
Alpha43,0.005287521460273829
Alpha40,0.005215684810240789
Alpha19,0.0035880375510293485
Alpha30,0.0034348820852206177
Alpha51,0.003242614744261488
Alpha27,0.002966525764632866
Alpha49,0.002922695517174157
Alpha44,0.0025804311874372448
Alpha39,0.00240199831405773
Alpha11,0.002328621806357451
Alpha59,0.002244310170053991
Alpha29,0.0020608709016058787
Alpha21,0.0019701789244370342
Alpha8,0.0019045621832989687
Alpha25,0.0018766253784917811
Alpha12,0.0018614598193701735
Alpha7,0.0018039832885886381
Alpha2,0.0017987252110364424
Alpha4,0.001756159627857603
Alpha9,0.001686035081425979
Alpha15,0.001574256759647653
Alpha50,0.0015019909220315418
Alpha52,0.0013851850063551258
Alpha10,0.0013573001476021786
Alpha57,0.0013410789225612543
Alpha38,0.0013355696234242256
Alpha5,0.0013306022681524188
Alpha33,0.0012634613419926564
Alpha61,0.001246883956460363
Alpha6,0.0012069892788552973
Alpha63,0.001164435470338366
Alpha45,0.0011290713347248769
Alpha56,0.0010625663084475939
Alpha23,0.0010056295606935294
Alpha13,0.0009958190034920979
Alpha1,0.0009464423303527873
Alpha34,0.0009201592589015788
Alpha16,0.000906840587879451
Alpha60,0.000892734422399776
Alpha54,0.0008556844687466608
Alpha20,0.0008087280161760823
Alpha36,0.0006140280168768261
